#input
r(A),H1-H1,H1-H2,H1-O,H2-H1,H2-H2,H2-O,O-H1,O-H2,O-O
0.0125,-0.0000027672718800886287,-0.0000019730542106799476,-0.000003413252073869444,-0.0000032184474321184098,-0.0000014484421058114094,-0.0000033946726034628227,-0.000002512717884428639,-0.0000037002486976689397,-0.000005093898494124005
0.037500000000000006,-0.0000027576913197435715,-0.000001963757441103553,-0.0000033789917779358802,-0.000003208866203863181,-0.0000014393320526551179,-0.0000033605702753902733,-0.000002479233017993465,-0.000003665714359613048,-0.000005081178642285522
0.0625,-0.0000027505631976509903,-0.0000019572368046283373,-0.000003296562823607019,-0.0000032017362627811963,-0.000001433170240261461,-0.000003278452936683607,-0.000002398338864395555,-0.0000035827491160489444,-0.000005058201850260957
0.08750000000000001,-0.0000027111958615932963,-0.000001918825731195284,-0.000003190499398897373,-0.0000031623484062492935,-0.000001395295498696214,-0.000003172843832999206,-0.000002294568901106686,-0.0000034759203515477566,-0.000005021728213705501
0.1125,-0.0000026703420985541015,-0.0000018793341638456695,-0.0000030849700181079243,-0.0000031214467952622726,-0.0000013565093865963718,-0.0000030678959603847034,-0.000002192036475889836,-0.0000033694457215460716,-0.000004974468765794882
0.1375,-0.0000026374193424771875,-0.0000018482265460306735,-0.000002995926024595974,-0.000003088428812247912,-0.0000013262762337262757,-0.0000029795302225466003,-0.000002106590756056903,-0.00000327934196775459,-0.000004916544583011273
0.1625,-0.000002601065318685869,-0.0000018141907247581912,-0.0000029254887010665698,-0.000003051914035268055,-0.0000012932791264574917,-0.000002909834591946492,-0.00000204021407057553,-0.0000032077850278255937,-0.000004848997036788205
0.1875,-0.000002562565853736487,-0.000001778546788955282,-0.0000028691192142105137,-0.000003013166931964406,-0.0000012588410669422956,-0.0000028542347934035206,-0.000001988227268157061,-0.0000031502826232099324,-0.00000477134352649955
0.21250000000000002,-0.0000025193243686771893,-0.000001738725174504907,-0.0000028217902183769183,-0.0000029695700760612453,-0.0000012203939689925392,-0.0000028076740079541196,-0.000001945489970012204,-0.000003101833613072813,-0.000004685063572651416
0.23750000000000002,-0.0000024724253080421477,-0.0000016958173034709034,-0.0000027808030438336573,-0.0000029221819630720347,-0.00000117904095020549,-0.0000027674358591411874,-0.0000019092337595338904,-0.00000305973730974074,-0.000004590840035234578
0.2625,-0.000002420400420533042,-0.0000016483510734133233,-0.000002743480791878028,-0.0000028695066305317596,-0.000001133324289526172,-0.0000027308434482620214,-0.0000018767668450436759,-0.0000030212230512915994,-0.0000044896796680404805
0.28750000000000003,-0.0000023644001032607775,-0.0000015974613774005775,-0.0000027095959751477494,-0.000002812668171259247,-0.0000010843956061989957,-0.0000026976970843861636,-0.0000018479125003523222,-0.0000029857901040486468,-0.000004382207293929241
0.3125,-0.0000023044793380222472,-0.000001543185135233216,-0.0000026792912137807434,-0.0000027516977070263238,-0.0000010323058745598246,-0.000002668200295374845,-0.0000018229125657853729,-0.000002953130149307981,-0.000004270799365713174
