#input
r(A),H1-H1,H1-H2,H1-O,H2-H1,H2-H2,H2-O,O-H1,O-H2,O-O
0.03125,-0.003154783372849579,-0.003154331253327314,-0.005595727650955951,-0.0031547873613533284,-0.0031542333946674717,-0.00559623313952784,-0.005596245846419379,-0.005597031522853513,-0.006808032504295625
0.09375,-0.003148878854688064,-0.0031484204187961495,-0.005514470500145308,-0.003148876011451307,-0.0031483231098548004,-0.005514984544333856,-0.005514990437859524,-0.005515780816892857,-0.006734248379075325
0.15625,-0.0031350506791056887,-0.0031345893143139847,-0.005432731041736361,-0.0031350374362375533,-0.003134482422211704,-0.0054332550700451065,-0.00543325155859975,-0.005434042262379535,-0.0066079955489612985
0.21875,-0.003128194588896349,-0.003127734805474347,-0.005320119480785479,-0.003128173865221129,-0.0031276185249708988,-0.00532065211933741,-0.005320641457615238,-0.00532142828006954,-0.006478169437457382
0.28125,-0.0031218330476860956,-0.00312137658350764,-0.005154244447339806,-0.0031218022699306403,-0.0031212511304516966,-0.005154779726353809,-0.00515476585894703,-0.005155544554639846,-0.006353836067830798
0.34375,-0.0031064047007873796,-0.0031059513292603924,-0.0049386385131242605,-0.0031063644562010495,-0.0031058193525552724,-0.00493916223922497,-0.004939163050295292,-0.004939924303613452,-0.006227672165209697
0.40625,-0.0030578929011113587,-0.0030574461041510403,-0.004702622145316582,-0.0030578461603312235,-0.0030573098536734733,-0.004703117430466364,-0.004703153457455755,-0.004703885914153716,-0.0060673980565297825
0.46875,-0.0029625665457757577,-0.0029621276059117463,-0.00443446177274609,-0.0029625143506279983,-0.0029619899867867616,-0.004434920130506725,-0.0044349950917421666,-0.004435694888314856,-0.005851280555873473
0.53125,-0.00281459052108346,-0.002814161870759335,-0.004114677164579916,-0.002814532379602497,-0.0028140231097353308,-0.004115103428432576,-0.004115205521429743,-0.004115876698108423,-0.005563627665253534
0.59375,-0.002628895450584423,-0.00262847648816944,-0.003749614991534145,-0.0026288312801057145,-0.0026283361877688094,-0.0037500179540757017,-0.0037501333099783096,-0.003750779579746677,-0.00521202578829616
0.65625,-0.0024187458602540346,-0.0024183381189288866,-0.0033654970717407195,-0.00241867453566158,-0.0024181947859318598,-0.0033658798396345446,-0.0033660005977083074,-0.0033666243362802106,-0.004804935103152275
0.71875,-0.0021889876328486935,-0.0021885914448063204,-0.0029832141376004984,-0.002188906781981359,-0.0021884442152781958,-0.002983577332884124,-0.0029837000340933173,-0.002984301468131889,-0.0043531557411142785
0.78125,-0.0019493075465675247,-0.0019489274654205246,-0.0026166654900237063,-0.0019492214810981068,-0.0019487797727606448,-0.0026170083856982274,-0.00261713167697053,-0.0026177104735154444,-0.0038779783417339786
0.84375,-0.001744209166773203,-0.0017438522127548595,-0.0022705486701113387,-0.0017441276153675744,-0.0017437137809963588,-0.0022708706529499523,-0.002270993429334567,-0.0022715492769691537,-0.003467455968973354
0.90625,-0.0015807290214695513,-0.0015803999183106043,-0.0019461198004933067,-0.0015806602189769592,-0.0015802784773768508,-0.001946419312702119,-0.0019465420009225909,-0.001947074476220223,-0.003133203720210531
0.96875,-0.0014143925013456737,-0.0014140899158121556,-0.001641831766960422,-0.001414335070947459,-0.0014139839040012703,-0.0016421085420574855,-0.0016422316779767243,-0.0016427397026461676,-0.002782921872949373
1.03125,-0.0012245767357512705,-0.0012242971512250733,-0.0013564137453272451,-0.0012245241864974332,-0.0012241999224755773,-0.0013566681568306649,-0.0013567915929399987,-0.0013572749893455693,-0.002369670924736056
1.09375,-0.0010227803656874812,-0.0010225215634847018,-0.0010852012141810974,-0.0010227288395014966,-0.0010224284698665542,-0.0010854340725643397,-0.0010855572201933228,-0.001086016268544654,-0.0019112459984853558
1.15625,-0.0008228423046574562,-0.0008226023404773741,-0.0008223689767419273,-0.0008227897740766821,-0.0008225108292947425,-0.000822580289934649,-0.0008227032817273994,-0.0008231369401130451,-0.0014352340188565904
