Name,ρV,N_br,N_db,N_bz,N_OH,N_ph,N_Hal,N_eth,N_ald,N_ket,Δμ_PW_hyd,Δμ_GF_hyd,Δμ_SDC+PW_hyd,Δμ_hyd_SDC+GF,Δ_μhyd_exp
"2,2,4-trimethylpentane",4.86,3,0,0,0,0,0,0,0,0,9.79,-0.65,2.07,1.52,2.87
"2,2,5-trimethylhexane",5.39,3,0,0,0,0,0,0,0,0,10.67,-0.94,2.14,1.58,2.79
"2,2-dimethylbutane",4.14,2,0,0,0,0,0,0,0,0,10.22,2.20,2.52,2.53,2.57
"2,4-dimethylpentane",4.65,2,0,0,0,0,0,0,0,0,11.15,1.98,2.69,2.63,2.87
2-methylbutane,3.86,1,0,0,0,0,0,0,0,0,11.25,4.34,2.90,3.10,2.38
2-methylhexane,4.88,1,0,0,0,0,0,0,0,0,12.83,3.65,2.94,3.06,2.93
n-decane,6.57,0,0,0,0,0,0,0,0,0,16.33,3.87,2.83,2.97,3.16
n-hexane,4.54,0,0,0,0,0,0,0,0,0,13.33,5.23,2.89,3.03,2.50
n-octane,5.57,0,0,0,0,0,0,0,0,0,14.96,4.67,2.96,3.13,2.89
n-pentane,4.04,0,0,0,0,0,0,0,0,0,12.47,5.47,2.79,2.96,2.36
propane,3.00,0,0,0,0,0,0,0,0,0,10.70,5.96,2.57,2.79,1.97
"2,2-dimethylpentane",4.63,2,0,0,0,0,0,0,0,0,11.07,1.73,2.63,2.38,2.88
"2,3,4-trimethylpentane",4.82,3,0,0,0,0,0,0,0,0,9.56,-0.45,1.90,1.70,2.56
"2,3-dimethylpentane",4.57,2,0,0,0,0,0,0,0,0,10.59,1.64,2.24,2.24,2.52
2-methylpentane,4.36,1,0,0,0,0,0,0,0,0,11.95,3.93,2.84,3.01,2.52
3-methylhexane,4.81,1,0,0,0,0,0,0,0,0,12.26,3.20,2.48,2.56,2.71
3-methylpentane,4.29,1,0,0,0,0,0,0,0,0,11.37,3.47,2.36,2.51,2.51
ethane,2.45,0,0,0,0,0,0,0,0,0,9.56,5.94,2.27,2.42,1.84
methane,1.79,0,0,0,0,0,0,0,0,0,7.66,5.11,1.37,1.17,1.98
n-butane,3.47,0,0,0,0,0,0,0,0,0,11.35,5.52,2.53,2.64,2.09
n-heptane,5.04,0,0,0,0,0,0,0,0,0,14.08,4.91,2.88,3.04,2.63
n-nonane,6.05,0,0,0,0,0,0,0,0,0,15.56,4.19,2.84,2.95,3.14
