Name,ρV,Nbr,Ndb,Nbz,NOH,Nph,NHal,Neth,Nald,Nket,Δμ_PW_hyd,Δμ_GF_hyd,Δμ SDC+PWhyd,Δμ_SDC+GF_hyd,Δμ_exp_hyd,ref
"2,2,4-trimethylpentane",4.86,3,0,0,0,0,0,0,0,0,9.79,-0.65,2.07,1.52,2.87,a
"2,2,5-trimethylhexane",5.39,3,0,0,0,0,0,0,0,0,10.67,-0.94,2.14,1.58,2.79,a
"2,2-dimethylbutane",4.14,2,0,0,0,0,0,0,0,0,10.22,2.20,2.52,2.53,2.57,a
"2,4-dimethylpentane",4.65,2,0,0,0,0,0,0,0,0,11.15,1.98,2.69,2.63,2.87,a
2-methylbutane,3.86,1,0,0,0,0,0,0,0,0,11.25,4.34,2.90,3.10,2.38,a
2-methylhexane,4.88,1,0,0,0,0,0,0,0,0,12.83,3.65,2.94,3.06,2.93,a
n-decane,6.57,0,0,0,0,0,0,0,0,0,16.33,3.87,2.83,2.97,3.16,a
n-hexane,4.54,0,0,0,0,0,0,0,0,0,13.33,5.23,2.89,3.03,2.50,a
n-octane,5.57,0,0,0,0,0,0,0,0,0,14.96,4.67,2.96,3.13,2.89,a
n-pentane,4.04,0,0,0,0,0,0,0,0,0,12.47,5.47,2.79,2.96,2.36,a
propane,3.00,0,0,0,0,0,0,0,0,0,10.70,5.96,2.57,2.79,1.97,a
"2,2-dimethylpentane",4.63,2,0,0,0,0,0,0,0,0,11.07,1.73,2.63,2.38,2.88,b
"2,3,4-trimethylpentane",4.82,3,0,0,0,0,0,0,0,0,9.56,-0.45,1.90,1.70,2.56,b
"2,3-dimethylpentane",4.57,2,0,0,0,0,0,0,0,0,10.59,1.64,2.24,2.24,2.52,b
2-methylpentane,4.36,1,0,0,0,0,0,0,0,0,11.95,3.93,2.84,3.01,2.52,b
3-methylhexane,4.81,1,0,0,0,0,0,0,0,0,12.26,3.20,2.48,2.56,2.71,b
3-methylpentane,4.29,1,0,0,0,0,0,0,0,0,11.37,3.47,2.36,2.51,2.51,b
ethane,2.45,0,0,0,0,0,0,0,0,0,9.56,5.94,2.27,2.42,1.84,b
methane,1.79,0,0,0,0,0,0,0,0,0,7.66,5.11,1.37,1.17,1.98,b
n-butane,3.47,0,0,0,0,0,0,0,0,0,11.35,5.52,2.53,2.64,2.09,b
n-heptane,5.04,0,0,0,0,0,0,0,0,0,14.08,4.91,2.88,3.04,2.63,b
n-nonane,6.05,0,0,0,0,0,0,0,0,0,15.56,4.19,2.84,2.95,3.14,b
3-methylbut-1-ene,3.81,1,1,0,0,0,0,0,0,0,11.39,4.87,2.19,2.37,1.82,a
but-1-ene,3.38,0,1,0,0,0,0,0,0,0,11.17,5.78,1.55,1.63,1.37,a
ethene,2.22,0,1,0,0,0,0,0,0,0,8.41,5.21,0.55,0.31,1.28,a
