Name,ρV,N br,,N db,,N bz,,N OH,,N ph,,N Hal,N eth,,,N ald,,N ket,,Δμ PW hyd,,Δμ GF  hyd,,Δμ SDC+PW hyd,,Δμhyd SDC+GF,,Δμhyd  exp,,
ethylbenzene,4.59,1,0,1,0,0,0,0,0,0,10.59,2.35,-0.57,-0.45,-0.73,a
n-butylbenzene,5.59,1,0,1,0,0,0,0,0,0,12.19,1.58,-0.47,-0.60,-0.40,a
n-hexylbenzene,6.60,1,0,1,0,0,0,0,0,0,13.67,0.87,-0.51,-0.67,-0.04,a
n-pentylbenzene,6.09,1,0,1,0,0,0,0,0,0,12.87,1.21,-0.54,-0.65,-0.23,a
n-propylbenzene,5.11,1,0,1,0,0,0,0,0,0,11.66,2.23,-0.28,-0.25,-0.53,a
toluene,4.14,1,0,1,0,0,0,0,0,0,10.06,2.94,-0.40,-0.16,-0.84,a
"1,2,3-trimethylbenzene",4.93,3,0,1,0,0,0,0,0,0,8.49,-0.71,-1.04,-0.52,-1.21,b
"1,2,4-trimethylbenzene",5.06,3,0,1,0,0,0,0,0,0,9.52,0.23,-0.21,0.50,-0.83,b
"1,3,5-trimethylbenzene",5.1,3,0,1,0,0,0,0,0,0,9.77,0.33,-0.01,0.62,-0.90,b
2-ethyltoluene,4.92,2,0,1,0,0,0,0,0,0,9.44,0.30,-1.14,-0.91,-1.04,b
4-ethyltoluene,5.14,2,0,1,0,0,0,0,0,0,11.01,1.62,0.10,0.55,-0.95,b
isobutylbenzene,5.34,2,0,1,0,0,0,0,0,0,10.21,-0.21,-1.00,-1.16,0.16,b
m-xylene,4.64,2,0,1,0,0,0,0,0,0,10.13,1.85,-0.02,0.47,-0.82,b
o-xylene,4.53,2,0,1,0,0,0,0,0,0,9.31,1.17,-0.69,-0.29,-0.90,b
p-xylene,4.69,2,0,1,0,0,0,0,0,0,10.55,2.27,0.32,0.91,-0.80,b
sec-butylbenzene,5.35,2,0,1,0,0,0,0,0,0,10.46,0.02,-0.76,-0.92,-0.45,b
tert-butylbenzene,5.15,3,0,1,0,0,0,0,0,0,9.13,-1.38,-0.73,-1.06,-0.44,b
