# density: 0.021017479720736955, temp: 85,# density: 0.021017479720736955, temp: 85
r,Ar_uv-Ar,r,Ar-Ar
0.000625,2.9614154577473073e-06,0.000625,7.094211618152713e-06
0.001875,2.959437917837704e-06,0.001875,7.094814908015223e-06
0.003125,2.955636617230084e-06,0.003125,7.095674511958805e-06
0.004375,2.949902782489744e-06,0.004375,7.096272145901139e-06
0.005625,2.942349958345858e-06,0.005625,7.096570048048534e-06
0.006875,2.9330280355566174e-06,0.006875,7.096666024608567e-06
0.008125,2.921954195045373e-06,0.008125,7.096642640647133e-06
0.009375,2.9091728954711016e-06,0.009375,7.096554242025377e-06
0.010625,2.894732268998723e-06,0.010625,7.096436618780899e-06
0.011875,2.8786628369914524e-06,0.011875,7.096304802445275e-06
0.013125,2.8609920725841675e-06,0.013125,7.096160498321069e-06
0.014375,2.8417660864477057e-06,0.014375,7.096004782880527e-06
0.015625,2.8210070830425593e-06,0.015625,7.095837759152346e-06
0.016875,2.7987540285323576e-06,0.016875,7.095659558586931e-06
0.018125,2.775035675028903e-06,0.018125,7.095469889861761e-06
0.019375,2.7498945840420674e-06,0.019375,7.095268301782198e-06
0.020625,2.7233402555282282e-06,0.020625,7.095055519101834e-06
0.021875000000000002,2.6954242180465826e-06,0.021875000000000002,7.094831754983488e-06
0.023125,2.6661655425641584e-06,0.023125,7.094597723522611e-06
0.024375,2.6356006728178727e-06,0.024375,7.094353939862685e-06
0.025625000000000002,2.6037572631310013e-06,0.025625000000000002,7.094100368476575e-06
0.026875,2.570669924040203e-06,0.026875,7.093838000571395e-06
0.028125,2.536363808758324e-06,0.028125,7.093567127469669e-06
0.029375000000000002,2.5008681561189405e-06,0.029375000000000002,7.093288026283062e-06
0.030625,2.464215391739799e-06,0.030625,7.093001009650379e-06
0.031875,2.42643163872458e-06,0.031875,7.092706759692646e-06
0.033125,2.3875499870484873e-06,0.033125,7.092405411412983e-06
0.034375,2.347596399943086e-06,0.034375,7.092097547456433e-06
0.035625000000000004,2.3065989864790026e-06,0.035625000000000004,7.091783366774962e-06
0.036875,2.264585123867846e-06,0.036875,7.091463086084104e-06
0.038125,2.22158131535366e-06,0.038125,7.091137003811809e-06
0.039375,2.177618110721369e-06,0.039375,7.0908051021945084e-06
0.040625,2.1327203612031553e-06,0.040625,7.090467295967073e-06
0.041875,2.0869160444192403e-06,0.041875,7.090123997244291e-06
0.043125000000000004,2.0402301608157813e-06,0.043125000000000004,7.089775053259473e-06
0.044375,1.9926876007048122e-06,0.044375,7.0894206807281535e-06
0.045625,1.9443146364039876e-06,0.045625,7.089060964915461e-06
0.046875,1.8951373021991458e-06,0.046875,7.0886960230609475e-06
0.048125,1.845180392479051e-06,0.048125,7.088325926218886e-06
0.049375,1.7944634649325053e-06,0.049375,7.0879506601784215e-06
0.050625,1.743019662825418e-06,0.050625,7.087570409680666e-06
0.051875000000000004,1.6908656306213743e-06,0.051875000000000004,7.087185348808589e-06
0.053125,1.6380271183891182e-06,0.053125,7.0867954953257595e-06
0.054375,1.5845282028692509e-06,0.054375,7.086400884759314e-06
0.055625,1.5303893228235665e-06,0.055625,7.086001559741817e-06
0.056875,1.4756336206289689e-06,0.056875,7.08559785067564e-06
0.058125,1.4202836560173182e-06,0.058125,7.085189654532087e-06
0.059375000000000004,1.3643610188296407e-06,0.059375000000000004,7.084777049470858e-06
0.060625,1.307888087609399e-06,0.060625,7.084360241549348e-06
0.061875,1.2508848641346049e-06,0.061875,7.083939138397e-06
0.063125,1.1933727499524593e-06,0.063125,7.083513970940203e-06
0.064375,1.1353702227268059e-06,0.064375,7.083084724968103e-06
0.065625,1.0768995153398464e-06,0.065625,7.082651382717131e-06
0.066875,1.0179825409295518e-06,0.066875,7.082214114717544e-06
0.068125,9.586362494928835e-07,0.068125,7.081772974260048e-06
0.069375,8.988788806618686e-07,0.069375,7.081327943581073e-06
0.07062500000000001,8.387308270130234e-07,0.07062500000000001,7.080879079524038e-06
0.07187500000000001,7.782110635901063e-07,0.07187500000000001,7.080426495775782e-06
0.073125,7.173376488367467e-07,0.073125,7.079970153256454e-06
0.074375,6.56129547138562e-07,0.074375,7.079510140783896e-06
0.075625,5.946047707539037e-07,0.075625,7.079046465463534e-06
0.076875,5.327770331575721e-07,0.076875,7.078579162822507e-06
0.078125,4.7066837183251664e-07,0.078125,7.078108232860814e-06
0.079375,4.082951328143736e-07,0.079375,7.077633721763732e-06
0.080625,3.4567347739766774e-07,0.080625,7.077155661505685e-06
0.081875,2.8281752761927237e-07,0.081875,7.076674076955669e-06
0.083125,2.1974794961465705e-07,0.083125,7.076188921928406e-06
0.084375,1.5647655970951746e-07,0.084375,7.075700242609173e-06
0.085625,9.302433312541325e-08,0.085625,7.07520802833983e-06
0.08687500000000001,2.9401554968444543e-08,0.08687500000000001,7.074712332411082e-06
0.088125,-3.437401474570834e-08,0.088125,7.074213090874082e-06
0.089375,-9.828739422346189e-08,0.089375,7.073710335703254e-06
0.090625,-1.6232446853337024e-07,0.090625,7.073204034924174e-06
0.091875,-2.2647106590056865e-07,0.091875,7.072694206300412e-06
0.093125,-2.9071077634057474e-07,0.093125,7.072180828515684e-06
0.094375,-3.550309202182689e-07,0.094375,7.071663876700995e-06
0.095625,-4.19417130359534e-07,0.095625,7.071143361514487e-06
0.096875,-4.838583258504059e-07,0.096875,7.070619258087163e-06
0.098125,-5.483359544200539e-07,0.098125,7.070091523786459e-06
0.099375,-6.128420722006922e-07,0.099375,7.069560115979812e-06
0.100625,-6.773598713039064e-07,0.100625,7.069025077299784e-06
0.10187500000000001,-7.418797167701996e-07,0.10187500000000001,7.0684863047176805e-06
0.10312500000000001,-8.063878453867801e-07,0.10312500000000001,7.067943840866064e-06
