Mol,Temp,y,y_pred
103brom_414,273.15,-1.176487204,-1.0058447
test0001,298.0,-8.84,-8.634462
016nona_72,303.15,-3.606983178,-3.4249644
test1030,298.0,-5.5,-5.484547
142meth_590,323.15,-2.265767426,-1.9814776
161diet_661,333.15,-2.891220018,-2.7504032
238form_957,318.15,-6.29056192,-5.525364
141dich_589,283.15,-1.587594726,-1.4507186
178cycl_728,293.0,0.88,0.3856728
100tetr_405,298.15,1.949760653,1.5237005
035oxyl_138,298.0,-0.937361307,-0.7492608
225ethe_920,317.15,-0.915396699,-0.95742404
212chlo_874,293.18,-0.638366769,-0.5927911
047prop_200,308.15,1.361909615,1.1251957
0506nit_chloroform,298.0,-4.68,-3.3433647
074octa_295,298.15,2.926395891,2.288686
063octa_255,312.65,-3.171619679,-3.275703
0050met,298.0,-4.51,-4.4265766
172pent_692,343.35,-1.262428551,-0.9083748
109ethy_443,308.0,2.08,1.5205455
009hept_30,299.19,-4.098307076,-4.1655817
097trim_399,300.0,-0.753431734,-0.6988611
235acet_952,297.65,-9.777745285,-9.423498
213octa_875,363.25,-1.41430983,-1.8822618
0097pro,298.0,-2.86,-2.620274
035oxyl_138,288.0,-1.189686439,-0.9582764
test1058,298.0,-11.2,-10.647091
262cycl_1049,343.65,-4.482345777,-3.8204503
059dich_237,363.15,-0.19477762,-0.028701305
0099but,298.0,-2.55,-2.3228154
0107tri,298.0,-3.23,-2.7437565
065chlo_267,275.15,-1.648547653,-1.4418228
085meth_357,303.95,-3.167378734,-2.645427
061cycl_241,313.15,-4.990587974,-4.9566917
0441pho,298.0,-7.62,-7.179923
244dich_977,303.25,-1.907184267,-2.047376
n017,298.0,-8.58,-8.831204
009hept_30,297.09,-4.188563965,-4.2485437
219acet_898,283.15,-3.813869402,-3.3878212
224benz_919,278.0,-4.600320125,-3.8267384
098dime_400,293.15,-7.80948547,-7.5150976
236ethy_953,313.15,-4.56496061,-4.40864
121meth_491,343.15,-1.767985044,-1.459355
179cycl_732,287.95,-0.103001653,-0.063197374
046ethy_190,343.35,-2.644201421,-2.6717026
0174chl,298.0,-1.12,-0.68988
225ethe_920,280.15,-1.808840462,-1.7069981
0229hyd_chloroform,298.0,-4.42,-3.989408
121meth_491,273.15,-3.903415194,-3.3104143
046ethy_190,282.85,-4.875063077,-4.772374
130nitr_552,323.15,-3.652189786,-3.5491574
0020cis,298.0,1.58,1.146781
201cume_815,333.09,0.28272901,0.2052269
019dich_90,290.15,-0.05364625,-0.138206
002dime_2,282.35,-2.757454628,-2.6601753
244dich_977,315.25,-1.538562297,-1.7257297
145buty_600,323.15,-3.176020233,-2.8960147
133acet_570,313.15,-3.512938714,-3.2672014
255cycl_1006,298.15,0.775682315,0.5975354
154meth_632,343.45,-1.678169048,-1.3524003
112bisc_456,343.75,-2.666383075,-2.618761
113brom_466,283.15,-1.10299983,-1.0804987
050meth_212,313.35,-3.573770063,-3.033596
153ethy_629,328.65,-2.335128029,-1.9761083
126nitr_529,353.15,-2.601055896,-2.4776723
050meth_212,363.65,-2.558958556,-2.08811
113brom_466,313.15,-0.57136988,-0.73718905
070prop_277,318.15,-2.133246921,-1.9763958
054trif_228,273.15,-4.959301016,-4.7986965
198isoq_797,325.25,-4.982310426,-4.6236753
217buty_888,273.15,-5.168854401,-5.183852
011pent_43,283.15,-5.105141665,-4.930561
096meth_391,273.15,-5.061459817,-4.987973
136etha_574,313.15,-4.544755955,-4.388115
188pent_765,303.15,-3.92071398,-4.0276165
266dime_1063,288.0,2.6,2.0923245
262cycl_1049,273.15,-5.833420831,-4.9879055
212chlo_874,363.15,0.236147543,0.23122764
038diis_151,334.15,0.196159165,-0.13746476
130nitr_552,333.15,-3.487389698,-3.4414654
046ethy_190,313.45,-3.561165609,-3.6006474
197trif_794,283.15,-4.713694952,-4.7229223
211pent_864,304.05,-2.328927934,-2.1974304
069meth_276,303.15,-2.568507739,-2.4140968
246meth_979,303.15,-6.992088213,-6.6250706
027oxop_109,308.15,-6.359205697,-5.8624353
142meth_590,333.15,-2.086814364,-1.824302
098dime_400,323.15,-6.458979665,-6.1805363
229ethe_940,333.35,1.83601598,1.6854446
117chlo_487,298.15,-2.484799981,-2.2675757
064prop_265,313.15,-3.971917159,-3.8252788
247hydr_987,373.15,-0.061987967,0.35535693
058phen_233,303.65,-6.154635079,-5.9562206
059dich_237,297.75,-1.401045226,-1.310047
140tric_586,283.15,1.181325882,0.94701695
047prop_200,293.15,1.078109277,0.9459131
035oxyl_138,318.0,-0.437049832,-0.3765465
125dibu_519,353.85,1.348657928,1.1115925
n009,298.0,-5.56,-5.40845
098dime_400,313.15,-6.886416447,-6.592964
180meth_733,292.95,-4.527033841,-4.493481
110meth_451,333.15,-5.252691772,-4.726348
201cume_815,303.09,-0.451666866,-0.41120613
262cycl_1049,353.15,-4.400300113,-3.6008492
049ethy_202,363.65,-0.761436729,-0.33773398
211pent_864,323.15,-1.830061465,-1.6574403
151tetr_627,283.15,-0.368107479,-0.10748577
201cume_815,323.09,0.065625617,0.0032627583
255cycl_1006,303.15,0.880409691,0.7037463
198isoq_797,347.95,-4.569365313,-4.23228
114dipr_467,333.15,-0.232240976,-0.3459829
201cume_815,313.09,-0.177853695,-0.20424533
151tetr_627,313.15,0.471886186,0.49166846
209dich_853,333.15,-0.698415446,-0.53388286
172pent_692,309.65,-2.144967157,-1.6078494
195meth_783,313.15,-4.545037815,-4.450615
009hept_30,298.09,-4.147988365,-4.2090564
253dich_996,288.85,-1.469181578,-1.5598869
142meth_590,293.0,-2.894761218,-2.5241752
266dime_1063,303.0,3.2,2.4514272
038diis_151,304.15,-0.997818808,-0.92684245
019dich_90,328.15,0.868055826,0.5948317
264brom_1061,303.15,-0.614157177,-0.67715967
154meth_632,323.15,-2.08936908,-1.6517491
014pent_65,333.15,-1.768709949,-1.6068178
122pipe_500,373.15,-4.164355782,-4.3594537
n019,298.0,-5.32,-5.1782236
003buta_12,276.15,1.449795062,1.1959584
153ethy_629,343.15,-2.260234571,-1.8315108
151tetr_627,353.15,1.180061277,1.0291686
063octa_255,293.25,-4.118829777,-4.0936275
008cycl_28,313.25,-4.684635521,-4.1696815
241fluo_969,333.25,-0.136699709,-0.03340888
215nndi_886,373.15,-6.162243806,-5.7724123
170meth_681,313.15,-2.063824537,-1.7128247
061cycl_241,283.15,-6.206513125,-6.026455
096meth_391,333.25,-2.761605996,-3.2205687
0101pen_carbontet,298.0,-6.35,-5.5043826
122pipe_500,293.15,-7.609473532,-7.5606365
093pyrr_383,273.15,-6.356643688,-6.1088943
030meth_125,273.15,-3.587527831,-3.0761833
198isoq_797,310.15,-5.30054348,-4.8413544
253dich_996,288.15,-1.482648766,-1.5671202
075dime_305,278.0,2.17,1.6331832
246meth_979,313.15,-6.669281253,-6.313239
034dibr_137,298.0,-1.794562324,-1.5310291
095pent_387,292.45,-3.516049059,-3.070095
150chlo_617,275.65,-0.680431935,-0.55183375
114dipr_467,298.15,-1.197372556,-1.1516745
193meth_779,328.85,3.373195929,2.9423144
test3001,298.0,-14.83,-14.3168745
0227Nme,298.0,-6.34,-6.0961485
241fluo_969,298.15,-0.787782873,-0.66877127
049ethy_202,313.05,-1.968682966,-1.6397982
212chlo_874,277.24,-0.9162197,-0.70493114
n191_chloroform,298.0,-14.28,-13.208378
isobutane_methanol,298.0,-1.53,-1.4249948
n005,298.0,-5.31,-5.1703405
066etha_268,283.15,-8.127779264,-8.59175
165chlo_671,343.15,0.702471646,0.6216409
170meth_681,284.0,-2.769478834,-2.466571
180meth_733,313.15,-3.858573643,-3.7925262
142meth_590,278.0,-3.244357908,-2.7807565
039dime_156,282.65,-3.181948801,-2.9943786
0244tet_chloroform,298.0,-5.84,-4.5360274
026prop_100,343.65,-1.782762501,-1.5204189
253dich_996,295.15,-1.36314315,-1.4894072
020nitr_91,293.15,-4.052836566,-3.8568501
072meth_293,293.65,1.988953675,1.9334881
108hexy_433,343.15,-2.647132539,-2.893475
002dime_2,333.85,-0.745015108,-1.0805041
0005npe_methanol,298.0,-1.91,-1.8985008
test1017,298.0,-6.5,-6.270094
121meth_491,312.65,-2.531319986,-2.1513934
072meth_293,287.85,1.87719547,1.9024584
186fluo_754,303.18,-0.154888034,-0.22777057
217buty_888,313.15,-3.838473234,-3.7720947
101dime_406,323.65,-1.040560906,-1.1612754
144morp_597,363.15,-5.335437617,-5.079133
034dibr_137,283.15,-2.265773755,-1.6353115
085meth_357,353.15,-2.114809938,-1.9220191
